treatment,forest_type,plot_ID,gbh_cm,gbh_cm_stem2,gbh_cm_stem3,height_m,code,species_ID,family,ID_level,sp_sdev,sp_m,ge_sdev,ge_m,basalarea_cm2,dia1,dia2,dia3,den,agb,plotA,plotB,plotC,wd_m,wd_sd,WD_level,agb_Mg,type_plot,gf
OL_near,deciduous,MAT1C5P01,19,NA,NA,4.5,ixosp,Ixora sp,Rubiaceae,G,NA,NA,0.096040666,0.792857143,28.72746723,6.047887837,NA,NA,0.792857143,7.813672776,NA,Y,NA,0.792857143,0.096040666,G,0.000781367,B,T
OL_near,deciduous,MAT1C5P01,35,NA,NA,9,bomins,Bombax insigne,Bombacaceae,S,NA,NA,0.07320674,0.371231783,97.48240264,11.14084602,NA,NA,0.371231783,24.14980852,Y,Y,NA,0.371231783,0.07320674,G,0.002414981,B,T
OL_near,deciduous,MAT1C5P01,23,NA,NA,8,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,NA,0.100269141,0.524774716,42.09648245,7.321127382,NA,NA,0.524774716,13.29782548,NA,Y,NA,0.524774716,0.100269141,G,0.001329783,B,T
OL_near,deciduous,MAT1C5P01,24,NA,NA,8.5,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,NA,0.100269141,0.524774716,45.83662361,7.639437268,NA,NA,0.524774716,15.33053394,NA,Y,NA,0.524774716,0.100269141,G,0.001533053,B,T
OL_near,deciduous,MAT1C5P01,16.5,NA,NA,8,terman,Terminalia manii,Combretaceae,S,NA,0.66,0.153541295,0.554719761,21.66496663,5.252113122,NA,NA,0.66,8.697568948,NA,Y,NA,0.66,0.153541295,S,0.000869757,B,T
OL_near,deciduous,MAT1C5P01,166,NA,NA,30.5,terpro,Terminalia procera,Combretaceae,S,NA,0.52,0.153541295,0.554719761,2192.836806,52.83944111,NA,NA,0.52,2305.289155,Y,Y,NA,0.52,0.153541295,S,0.230528915,B,T
OL_near,deciduous,MAT1C5P01,31,NA,NA,8.5,sagell,Sageraea elliptica,Annonaceae,S,NA,0.67,0.086799749,0.641536,76.47395016,9.867606472,NA,NA,0.67,32.06848314,Y,Y,NA,0.67,0.086799749,S,0.003206848,B,T
OL_near,deciduous,MAT1C5P01,15,NA,NA,7,glysp,Glycosmis sp,Rutaceae,G,NA,NA,NA,0.43911,17.9049311,4.774648293,NA,NA,0.43911,4.258688796,NA,Y,NA,0.43911,NA,G,0.000425869,B,T
OL_near,deciduous,MAT1C5P01,23,NA,NA,8,pajrhe,Pajanelia rheedei,Bignoniaceae,S,NA,0.716352,0.252720576,0.425450667,42.09648245,7.321127382,NA,NA,0.716352,18.01733353,NA,Y,NA,0.716352,0.252720576,S,0.001801733,B,T
OL_near,deciduous,MAT1C5P01,18,NA,NA,5.5,dryass,Drypetes assamica,Euphorbioaceae,S,NA,NA,0.075472281,0.706904579,25.78310078,5.729577951,NA,NA,0.706904579,7.646110383,NA,Y,NA,0.706904579,0.075472281,G,0.000764611,B,T
OL_near,deciduous,MAT1C5P01,10,NA,NA,3,rinben,Rinorea benghalensis,Violaceae,S,NA,NA,0.085450154,0.670555965,7.957747155,3.183098862,NA,NA,0.670555965,1.275996393,NA,Y,NA,0.670555965,0.085450154,G,0.0001276,B,T
OL_near,deciduous,MAT1C5P01,32,NA,NA,1,diokur,Diospyros kurzii,Ebenaceae,S,NA,0.8,0.130127619,0.69718256,81.48733086,10.18591636,NA,NA,0.8,5.023970698,Y,Y,NA,0.8,0.130127619,S,0.000502397,B,T
OL_near,deciduous,MAT1C5P01,13,NA,NA,3.5,rinben,Rinorea benghalensis,Violaceae,S,NA,NA,0.085450154,0.670555965,13.44859269,4.13802852,NA,NA,0.670555965,2.475180855,NA,Y,NA,0.670555965,0.085450154,G,0.000247518,B,T
OL_near,deciduous,MAT1C5P01,25,NA,NA,6,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,NA,0.100269141,0.524774716,49.73591972,7.957747155,NA,NA,0.524774716,11.81752645,NA,Y,NA,0.524774716,0.100269141,G,0.001181753,B,T
OL_near,deciduous,MAT1C5P01,106,NA,NA,19.5,diland,Dillenia andamanica,Dilleniaceae,S,NA,NA,0.066353381,0.61240513,894.1324703,33.74084794,NA,NA,0.61240513,728.1137467,Y,Y,NA,0.61240513,0.066353381,G,0.072811375,B,T
OL_near,deciduous,MAT1C5P01,18,NA,NA,9,dioooc,Diospyros oocarpa,Ebenaceae,S,NA,NA,0.130127619,0.69718256,25.78310078,5.729577951,NA,NA,0.69718256,12.19880615,NA,Y,NA,0.69718256,0.130127619,G,0.001219881,B,T
OL_near,deciduous,MAT1C5P01,14,NA,NA,4,tabalt,Tabernaemontana alternifolia,Apocynaceae,S,NA,NA,0.100269141,0.524774716,15.59718442,4.456338407,NA,NA,0.524774716,2.56521956,NA,Y,NA,0.524774716,0.100269141,G,0.000256522,B,T
OL_near,deciduous,MAT1C5P01,144,NA,NA,19.5,diland,Dillenia andamanica,Dilleniaceae,S,NA,NA,0.066353381,0.61240513,1650.11845,45.83662361,NA,NA,0.61240513,1324.115185,Y,Y,NA,0.61240513,0.066353381,G,0.132411519,B,T
OL_near,deciduous,MAT1C5P01,40,NA,NA,11,diokur,Diospyros kurzii,Ebenaceae,S,NA,0.8,0.130127619,0.69718256,127.3239545,12.73239545,NA,NA,0.8,80.65191873,Y,Y,NA,0.8,0.130127619,S,0.008065192,B,T
OL_near,deciduous,MAT1C5P01,14,NA,NA,NA,belsp,Climber species,NA,G,NA,NA,NA,NA,15.59718442,4.456338407,NA,NA,NA,0,NA,Y,NA,0.569020181,0.047494407,P,0,B,P
OL_near,deciduous,MAT1C5P01,10,NA,NA,3,rinben,Rinorea benghalensis,Violaceae,S,NA,NA,0.085450154,0.670555965,7.957747155,3.183098862,NA,NA,0.670555965,1.275996393,NA,Y,NA,0.670555965,0.085450154,G,0.0001276,B,T
