treatment,forest_type,plot_ID,gbh_cm,gbh_cm_stem2,gbh_cm_stem3,height_m,code,species_ID,family,ID_level,sp_sdev,sp_m,ge_sdev,ge_m,basalarea_cm2,dia1,dia2,dia3,den,agb,plotA,plotB,plotC,wd_m,wd_sd,WD_level,agb_Mg,type_plot,gf,gbheff
OL_near,deciduous,MAT1C5P01,180,0,0,15,ficrum,Ficus rumphii,Moraceae,S,0.041046134,0.400976,0.093306861,0.411557578,2578.310078,57.29577951,NA,NA,0.400976,1048.042874,Y,NA,Y,0.400976,0.041046134,S,0.104804287,A,T,180
OL_near,deciduous,MAT1C5P01,376.8,0,0,32.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,0.056568542,0.62,0.15622057,0.587123328,11298.26935,119.9391651,NA,NA,0.62,14425.11976,NA,NA,Y,0.62,0.056568542,S,1.442511976,C,T,376.8
OL_near,deciduous,MAT1C5P01,502.4,0,0,34.5,ptedal,Pterocarpus dalbergioides,Fabaceae,S,0.056568542,0.62,0.15622057,0.587123328,20085.81218,159.9188868,NA,NA,0.62,26811.00648,NA,NA,Y,0.62,0.056568542,S,2.681100648,C,T,502.4
OL_near,deciduous,MAT1C5P01,196,0,0,30.5,terpro,Terminalia procera,Combretaceae,S,NA,0.52,0.153541295,0.554719761,3057.048147,62.38873769,NA,NA,0.52,3188.29333,NA,NA,Y,0.52,0.153541295,S,0.318829333,C,T,196
OL_near,deciduous,MAT1C5P01,245,0,0,23.5,pajrhe,Pajanelia rheedei,Bignoniaceae,S,NA,0.716352,0.252720576,0.425450667,4776.63773,77.98592212,NA,NA,0.716352,5223.91841,NA,NA,Y,0.716352,0.252720576,S,0.522391841,C,T,245
OL_near,deciduous,MAT1C5P01,235,0,0,28.5,ptetin,Pterocymbium tinctorium,Sterculiaceae,S,NA,0.25,0.070641633,0.324993333,4394.665866,74.80282325,NA,NA,0.25,2080.75531,NA,NA,Y,0.25,0.070641633,S,0.208075531,C,T,235
OL_near,deciduous,MAT1C5P01,220,0,0,28.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,0.048223214,0.307096,0.048223214,0.307096,3851.549623,70.02817496,NA,NA,0.307096,2236.12331,NA,NA,Y,0.307096,0.048223214,S,0.223612331,C,T,220
OL_near,deciduous,MAT1C502JR,195,0,0,17.5,stevil,Sterculia villosa,Sterculiaceae,S,NA,0.254856,0.127696287,0.426577466,3025.933356,62.07042781,NA,NA,0.254856,915.11357,NA,NA,Y,0.254856,0.127696287,S,0.091511357,C,T,195
OL_near,deciduous,MAT1C502JR,250,0,0,23.5,tetnud,Tetrameles nudiflora,Tetramelaceae,S,0.048223214,0.307096,0.048223214,0.307096,4973.591972,79.57747155,NA,NA,0.307096,2377.383384,NA,NA,Y,0.307096,0.048223214,S,0.237738338,C,T,250
OL_near,deciduous,MAT1C502JR,245,0,0,22.5,pajrhe,Pajanelia rheedei,Bignoniaceae,S,NA,0.716352,0.252720576,0.425450667,4776.63773,77.98592212,NA,NA,0.716352,5006.846643,NA,NA,Y,0.716352,0.252720576,S,0.500684664,C,T,245
