species_ID,phenology,tmp_phenology,code_new,id_level_correct,Family,dispersal_mode,successional_status,habit,commercial,fruit_size,seen
Actephila excelsa,E,E,actexc,S,Euphorbioaceae,endozoochory,NA,treelet,N,NA,lplot
Adenanthera pavonina,Ec,E,adepav,S,Mimosaceae,endozoochory,NA,tree,Y,NA,lplot
Aglaia andamanica,Ec,E,agland,S,Meliaceae,endozoochory,NA,tree,N,NA,lplot
Aidia cochinchinensis,Dc,D,aidcoc,S,Rubiaceae,endozoochory,NA,tree,N,NA,lplot
Aidia densiflora,Dc,D,aidden,S,Rubiaceae,endozoochory,NA,tree,N,NA,lplot
Aidia sp3,E,E,aidsp3,S,Rubiaceae,endozoochory,NA,tree,N,NA,lplot
Ailanthus kurzii,E,E,ailkur,S,Simaroubaceae,anemochory,NA,tree,N,NA,lplot
Albizia chinensis,D,D,albchi,S,Meliaceae,anemochory,NA,tree,Y,NA,lplot
Albizia lebbeck,D,D,albleb,S,Meliaceae,anemochory,NA,tree,N,NA,lplot
Alstonia kurzii,E,E,alskur,S,Apocynaceae,anemochory,NA,tree,N,NA,lplot
Anacardiaceae sp,NA,NA,anasp,F,Anacardiaceae,NA,NA,tree,N,NA,lplot
Antiaris toxicaria,E,E,anttox,S,Moraceae,endozoochory,NA,tree,N,NA,lplot
Antidesma sp,Dc,D,antsp,G,Phyllanthaceae,endozoochory,NA,tree,N,NA,lplot
Aphanamixis polystachya,E,E,aphpol,S,Meliaceae,endozoochory,NA,tree,Y,NA,lplot
Aporosa sp1,E,E,aposp1,S,Euphorbioaceae,endozoochory,NA,tree,N,NA,lplot
Aporosa sp2,E,E,aposp2,S,Euphorbioaceae,endozoochory,NA,tree,N,NA,lplot
Aporosa sp3,E,E,aposp3,S,Euphorbioaceae,endozoochory,NA,tree,N,NA,lplot
Archidendron sp,E,E,arcsp,G,Mimosaceae,endozoochory,NA,tree,N,NA,lplot
Areca triandra,E,E,aretri,S,Arecaceae,endozoochory,NA,monocot,N,NA,lplot
Artocarpus chaplasha,E,E,artcha,S,Moraceae,endozoochory,NA,tree,Y,NA,lplot
Artocarpus gomezianus,Ec,E,artgom,S,Moraceae,endozoochory,NA,tree,YNC,NA,lplot
Artocarpus lakoocha,E,E,artlak,S,Moraceae,endozoochory,NA,tree,YNC,NA,lplot
Atalantia sp1,E,E,atasp1,S,Rutaceae,endozoochory,NA,tree,N,NA,lplot
Baccaurea sapida,E,E,bacsap,S,Euphorbioaceae,endozoochory,NA,tree,N,NA,lplot
Blumeodendron kurzii,E,E,blokur,S,Euphorbioaceae,endozoochory,NA,tree,N,NA,lplot
Bombax insigne,D,D,bomins,S,Bombacaceae,anemochory,NA,tree,Y,NA,lplot
